,State/UT,Weekly New Cases.4-10  Apr,Weekly New Cases.11-17  Apr,Weekly New Cases.18-24  Apr,Weekly New Cases.25-30  Apr,Average Positivity Rate.4-10  Apr,Average Positivity Rate.11-17  Apr,Average Positivity Rate.18-24  Apr,Average Positivity Rate.25-30  Apr
0,Andaman and Nicobar Islands,77,156,283,335,0.7%,1.1%,2.5%,3.8%
1,Andhra Pradesh,15960,33549,65471,80764,7.2%,13.6%,22.4%,17.6%
2,Arunachal Pradesh,29,89,579,874,1.1%,3.1%,4.6%,4.3%
3,Assam,1357,3858,11873,17434,0.8%,1.4%,2.7%,4.9%
4,Bihar,11960,35954,75374,79516,2.0%,5.3%,10.6%,13.7%
5,Chandigarh,2488,2968,4634,4704,13.0%,14.0%,20.0%,21.0%
6,Chhattisgarh,68980,99719,107201,89004,22.5%,29.0%,30.0%,27.2%
7,Delhi,42042,113575,176784,144551,6.8%,16.5%,31.6%,32.5%
8,Goa,2976,4482,8923,15868,15.8%,23.5%,35.7%,40.9%
9,Gujarat,26463,52203,87508,86040,2.9%,4.8%,7.0%,8.7%
10,Haryana,17212,36353,63540,74644,8.1%,14.4%,20.7%,27.1%
11,Himachal Pradesh,4278,6471,10551,13149,9.1%,13.0%,17.8%,18.9%
12,Jammu and Kashmir,5036,7691,13208,17709,1.7%,3.0%,4.7%,6.6%
13,Jharkhand,10629,21865,36891,37567,6.3%,8.3%,12.2%,16.2%
14,Karnataka,44438,86958,162399,218745,5.7%,9.7%,14.7%,20.7%
15,Kerala,27773,60963,156019,193997,6.9%,13.2%,18.6%,23.9%
16,Lakshadweep,54,257,911,805,2.5%,5.8%,9.0%,9.2%
17,Madhya Pradesh,28533,63626,89871,77624,12.0%,19.7%,24.0%,22.2%
18,Maharashtra,390428,426756,458129,373636,26.0%,24.7%,24.4%,22.7%
19,Manipur,71,163,632,1305,1.1%,2.4%,6.3%,11.3%
20,Meghalaya,140,552,988,1060,1.0%,3.9%,7.0%,8.2%
21,Mizoram,96,226,474,736,1.4%,1.8%,3.8%,4.7%
22,Nagaland,38,136,467,973,2.7%,7.2%,14.4%,25.8%
23,Odisha,5958,16412,36747,42853,2.8%,7.2%,13.6%,17.0%
24,Puducherry,1605,3371,5163,6351,8.6%,12.0%,14.7%,17.3%
25,Punjab,21279,25405,36972,38863,8.4%,10.4%,11.0%,12.6%
26,Rajasthan,,,,,,,,
27,,21092,45667,94273,99373,6.8%,13.8%,19.8%,22.6%  12.8%
28,Tamil Nadu  Telangana,30590,53912,85601,100427  48500,5.2%,8.3%,10.6%,9.4%
29,Tripura,13272  162,22240  248,40775  496,740,2.4%  1.7%,3.0%  1.9%,5.3%  2.9%,2.8%
30,Uttar Pradesh,50816,144315,230260,201010,3.8%,9.7%,15.3%,16.2%
31,Uttarakhand,5765,13924,26030,33088,2.5%,4.9%,10.9%,14.3%
32,West Bengal,18840,41010,76553,100305,8.5%,14.0%,21.8%,31.3%
