,Indicator,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21  (YoY  over  Apr-20),Apr-21  (YoY  over  Apr-19)
0,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector,External Sector
1,Merch Exports (USD Billion),21.5,10.2,19.2,22.0,23.8,22.8,27.6,24.9,23.6,27.1,27.4,27.9,34.5,30.2,30.2
2,Baltic Dry Index,601,664,489,1146,1633,1517,1399,1631,1180,1244,1658,1500,2018,2164,2164
3,Exchange Rate (INR/USD),74.4,76.2,75.7,75.7,75.0,74.7,73.5,73.5,74.2,73.6,73.1,72.7,72.8,74.5,74.5
4,"NEER (40 currency, trade based,  2015-16=100)",95.2,94.0,94.4,93.1,93.7,93.5,94.8,94.7,93.0,93.0,93.7,94.2,95.1,,
5,Net FDI (USD Billion),4.0,0.2,-0.2,-0.8,3.5,18.2,2.9,4.6,5.7,6.5,3.5,-2.9,,,
6,Crude price Brent Dubai WTI (USD/  Barrel),32.2,21.0,30.4,39.5,42.1,43.4,40.6,39.9,42.3,48.7,53.6,60.5,63.8,63.0,
7,Crude oil Indian basket (USD/  Barrel),33.3,20.5,29.7,40.6,43.3,44.2,41.4,40.8,43.5,49.9,54.6,61.2,64.7,63.3,63.3
8,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal,Fiscal
9,Gross tax revenue (Rs. Lakh crore),3.3,0.7,0.6,1.4,1.1,1.2,2.2,1.5,1.5,3.1,1.8,1.5,,,
10,Non-food credit (Rs. Lakh crore),103,102,101,102,102,102,102,103,104,105,106,107,107,108,108
11,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets,Monetary and Financial Markets
12,M3 (Rs. Lakh crore),168,170,172,173,176,176,177,178,179,181,184,186,188,,
13,CPI food (Base 2012=100),148,153,152,153,157,158,162,166,166,161,156,156,155,,
14,Sensex (Index),29468,33718,32424,34916,37607,38628,38068,39614,44150,47751,46286,49100,49509,48782,48782
15,Nifty 50 (Index),8598,9860,9580,10302,11073,11388,11248,11642,12969,13982,13635,14529,14691,14631,14631
