,State/UT.State/UT,Energy demand met (MU).Jan-21,Energy demand met (MU).Feb-21,Energy demand met (MU).Mar-21,Energy demand met (MU).Apr-21,YoY growth.Apr  21/Apr 20,YoY growth.Apr  21/Apr 19
0,Andhra Pradesh,5329,5281,5933,6289.4,31.4,10.1
1,Arunachal Pradesh,74,67,72,63.4,428.3,2.3
2,Assam,728,673,793,832.9,302.4,19.7
3,Bihar,2735,2420,2918,3264.9,40.7,26.4
4,Chandigarh,124,95,99,105.5,38.8,-9.8
5,Chhattisgarh,2791,2667,3279,3233,45.0,6.4
6,D&D,225,209,229,213.7,214.3,-2.0
7,Delhi,2262,1788,2077,2229.8,36.0,-17.3
8,DNH,590,550,606,553.1,550.7,0.2
9,Goa,327,280,364,349,44.8,-9.4
10,Gujarat,10523,9953,11817,11802.8,51.6,5.2
11,Haryana,3919,3714,3985,3847.2,52.7,1.5
12,Himachal Pradesh,1007,884,934,843.7,109.9,9.3
13,J&K,1654,1434,1556,1518.9,19.5,17.2
14,Jharkhand,863,766,892,870,24.6,19.2
15,Karnataka,6451,6469,7294,7316.3,19.5,4.4
16,Kerala,2178,2107,2319,2430.5,18.3,-0.5
17,Madhya Pradesh,8769,7500,7145,6956.9,27.2,3.5
18,Maharashtra,14427,13400,16375,16080.3,37.7,9.2
19,Manipur,103,83,78,74.2,363.8,21.6
20,Meghalaya,209,176,172,151.2,202.4,-4.9
21,Mizoram,63,55,53,48.3,201.9,7.3
22,Nagaland,66,60,64,63.3,272.4,9.1
23,Odisha,2348,2297,2942,3146.2,52.7,12.9
24,Pondicherry,215,206,227,269.2,80.7,3.9
25,Punjab,3832,3611,4044,3700.6,54.8,1.6
26,Rajasthan,7790,7395,7258,6411.7,31.5,3.3
27,Sikkim,57,50,51,26.9,-34.4,-34.4
28,Tamil Nadu,7887,8367,9477,10519.8,44.3,2.1
29,Telangana,6954,6836,7574,6710.7,39.8,17.4
30,Tripura,169,158,221,144.3,26.6,-28.6
31,Uttar Pradesh,9206,8123,9837,10122.3,27.2,0.3
32,Uttarakhand,1260,1093,1142,1107.8,77.0,-1.7
33,West Bengal,4056,3874,5373,5371.6,46.9,5.9
34,ALL INDIA,112060,105259,120110,119274,40.7,5.5
