,Railway zone.Railway zone,Revenue earning rail freight traffic (MT).Jan-21,Revenue earning rail freight traffic (MT).Feb-21,Revenue earning rail freight traffic (MT).Mar-21,Revenue earning rail freight traffic (MT).Apr-21,YoY growth.,YoY growth.Apr 21/Apr 20  Apr 21/Apr 19
0,Central,6.2,5.9,7.0,4.1,91.1,56.4
1,Eastern,6.8,6.8,8.3,4.5,105.5,53.3
2,E.Central,12.7,12.6,15.3,9.1,113.7,43.5
3,E.Coast,20.4,18.7,21.6,11.7,39.5,36.3
4,Northern,4.9,4.2,4.5,2.4,-26.9,27.1
5,N.Central,1.6,1.4,1.8,1.0,145.2,60.9
6,N.Eastern,0.4,0.3,0.3,0.3,127.3,127.3
7,N.Frontier,0.7,0.6,0.7,0.5,133.3,19.5
8,N.Western,2.0,2.2,2.8,1.6,400.0,140.6
9,Southern,2.7,2.4,2.8,1.9,66.7,31.7
10,S.Central,9.7,9.4,10.6,6.3,103.9,30.6
11,S.Eastern,17.2,15.7,18.2,10.5,91.6,60.9
12,S.E.Central,18.2,17.6,20.8,10.9,54.7,50.9
13,S.Western,3.8,3.6,4.4,2.3,138.8,64.2
14,Western,8.2,6.6,7.4,4.0,72.5,24.6
15,W.Central,4.2,4.0,3.9,2.6,293.9,44.8
16,TOTAL,119.8,112.3,130.5,73.5,75.5,45.4
